price,price_per_meter,floor,rooms,repair_type,total_area,distance_to_center,district,house_build_year,house_type,balcony_number,bathroom_many,separate_bathroom,first_floor,geo_lat,geo_lon
8600000,143333,12,2,8,60,7914,Звездный городок,2021,7,0,1,0,0,57.179426,65.658906
8600000,114667,2,3,7,75,7890,Звездный городок,2018,4,0,0,1,0,57.180187,65.657640
8600000,113158,9,3,7,76,2252,6 Микрорайон,2003,7,1,0,1,0,57.12630895,65.56171743
8600000,107500,18,2,6,80,4602,Югра,2017,5,2,0,1,0,57.184706,65.561883
8600000,100939,5,3,6,85.2,5385,Восточный,2000,3,1,0,0,0,57.107099,65.601666
8600000,100585,8,3,7,85.5,4182,Плеханова,2016,3,1,0,1,0,57.1336611,65.47890175
8600000,78182,7,3,6,110,2836,Московский тракт,2003,3,1,0,1,0,57.136772,65.5004
8590000,124493,3,2,7,69,3524,3-й Заречный мкр.,2009,7,1,0,1,0,57.174892,65.5607
8590000,151499,13,2,8,56.7,2811,Европейский мкр.,2016,4,1,0,0,0,57.16854057,65.55869
8580000,85119,13,3,7,100.8,7046,Мыс,2010,7,0,0,1,0,57.178055,65.64371
8570000,156387,12,1,2,54.8,2478,Дом Обороны,2006,7,0,0,0,0,57.156417,65.51063
8550000,135714,4,3,5,63,2575,Центр: Дом печати,1994,7,0,0,0,0,57.15508878,65.58282784
8530000,122911,17,2,7,69.4,5624,Ново-Патрушево,2020,4,1,0,1,0,57.096553,65.574788
8514446,111446,3,3,6,76.4,6410,Тарманы,2015,5,1,1,1,0,57.1832,65.62335
8500000,120397,6,2,2,70.6,3575,5-й Заречный мкр.,2023,7,1,1,1,0,57.168365,65.584409
8500000,146552,1,2,2,58,5411,Дударева,2021,5,0,0,0,1,57.119185,65.468724
8500000,142617,16,2,7,59.6,5872,Ново-Патрушево,2021,4,1,0,0,0,57.094989,65.578956
